Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
224214A,-37.4952,147.3938,VIC,Wentworth,134.3129537,0.197945154,24.80858793,1.189953178,438.9,346.5917815,0.089179859,-0.046029478,0.661062236,0.486151179,0.316912595,0.511771759,0.02716,0.07759,1.092,0.7874,0.4619,0.09763,Cf,Perennial
225219,-37.5162,146.5665,VIC,Macalister,243.4248825,1.480923244,44.95472645,1.286818985,570.4,2021.099413,0.371813349,-0.01326369,0.493875701,0.672484321,0.599769318,0.661423609,0.02612,0.3357,5.403,0.8784,4.679,0.9973,Cf,Perennial
227225A,-38.4695,146.5551,VIC,Tarra,386.4743562,-7.536339354,91.18602547,0.554648872,20.7,1833.263535,0.21933157,-0.028762065,0.841012932,0.692941423,0.52001437,0.746236306,0.2317,0.515,3.781,0.6365,1.645,0.491,Cf,Perennial
227226,-38.4996,146.161,VIC,Tarwin,111.0607211,0.10805196,16.00707872,1.566259513,129.7,1532.929778,0.250408587,-0.015680625,0.816273938,0.825225834,0.811942823,0.836730922,0.03729,0.2563,6.418,0.7401,2.83,0.5003,Cf,Perennial
227227,-38.3929,145.9574,VIC,Wilkur,109.9226605,0.033827731,19.78444456,1.497779013,105.8,1637.388096,0.260595529,0.013404584,0.794233858,0.804200343,0.654158542,0.817334632,0,0.15,8.003,0.7828,3.985,0.5169,Cf,Ephemeral
230210,-37.4718,144.5243,VIC,Saltwater,202.8568453,-8.935298716,15.56389168,1.238116038,38.7,148.2145776,0.030932168,0.062533065,0.682774733,0.59087625,-0.171597978,0.650678104,0,0.0002328,0.7054,0.5851,0.113,0.002351,Cf,Ephemeral
231213,-37.4964,144.361,VIC,Lerderderg,202.721517,-10,40.8171055,1.092640704,152.1,555.3001378,0.090613906,0.039296187,0.773887312,0.715966684,0.701141219,0.720055816,0,0.03679,2.418,0.6094,1.011,0.1638,Cf,Ephemeral
235205,-38.6456,143.444,VIC,Arkins,367.6013201,-8.112740585,187.4157183,0.976664631,4.5,5096.688,0.401894609,0.011550604,0.876269305,0.901118114,0.891259374,0.916349229,0.314,1.27,10.74,0.8723,8.6,2.287,Cf,Perennial
238208,-37.3744,142.5071,VIC,Jimmy,118.492742,-3.046333848,59.58006319,1.999991752,23.3,419.0324642,0.096742029,-0.066564978,0.640695172,0.495420061,0.347366943,0.526937158,0.04463,0.07934,1.353,0.7567,0.7166,0.07737,Cf,Perennial
401203,-36.946,147.6057,VIC,Mitta,319.400777,2.074783763,36.73702838,0.500896839,1518.8,1581.601674,0.357042215,-0.00043389,0.639511655,0.639045227,0.592893157,0.670775068,0.1059,0.3841,3.378,0.8889,2.954,0.5845,Cf,Perennial
401208,-36.2119,147.6777,VIC,Cudgewa,269.2052123,-1.772674583,91.58819961,0.500516026,351.1,1105.083408,0.198466115,-0.077366386,0.75536206,0.563226156,0.348424183,0.628484143,0.09318,0.2641,2.932,0.707,1.713,0.3193,Cf,Perennial
401210,-36.5685,147.4134,VIC,Snowy,392.2161044,3.596738835,164.827702,1.190714414,415.7,2762.103056,0.42834312,-0.023507631,0.856878667,0.865580393,0.857342638,0.88175599,0.2782,0.6316,6.336,0.9469,4.987,0.943,Cf,Perennial
401212,-36.445,147.8295,VIC,Nariel,270.7088858,4.250776847,125.962667,1.517253943,251.6,3187.997254,0.518930226,-0.025526626,0.847123927,0.865339618,0.860995431,0.883003734,0.2912,0.7519,7.423,0.9502,5.923,1.208,Cf,Perennial
401216,-36.9327,147.4722,VIC,Big,227.183525,3.978420211,49.73357622,0.503333068,356.8,3614.57561,0.742902283,0.00730661,0.702764656,0.662977322,0.595591921,0.694114369,0.275,0.9173,7.385,0.8932,6.396,1.428,Cf,Perennial
401217,-36.7566,147.7093,VIC,Gibbo,435.6929109,1.25102682,113.8165092,1.284630726,389.8,1787.942969,0.295457754,-0.016901411,0.811815517,0.849734712,0.83658792,0.862333551,0.1182,0.345,4.467,0.9369,3.839,0.7161,Cf,Perennial
402204,-36.3046,146.9068,VIC,Yackandandah,321.98188,-1.396396311,48.66976708,0.500001486,284.1,905.8525967,0.169032741,-0.040350936,0.812180789,0.781670688,0.670934798,0.804309498,0.02916,0.1325,3.565,0.623,1.872,0.2263,Cf,Perennial
402206,-36.5393,147.0442,VIC,Running,452.1368364,-2.523563356,192.6727435,1.101168719,128.1,1211.362405,0.195521906,-0.038054293,0.773443669,0.831035615,0.806650767,0.839288723,0.06609,0.2188,2.898,0.9453,2.745,0.3943,Cf,Perennial
402213,-36.3267,146.885,VIC,Kinchington,279.02793,-4.043912255,51.16810981,0.628727506,123.8,822.5399842,0.143629768,-0.025012517,0.824565247,0.810554801,0.712275297,0.830506567,0.0103,0.08436,3.661,0.5686,1.861,0.2087,Cf,Ephemeral
403209A,-36.3318,146.3447,VIC,Reedy,348.0651134,0.600781012,10.10415065,2.626285624,5505.8,504.5874129,0.139848811,0.029002754,0.464071103,0.530591823,-0.139771483,0.533345251,0.00002951,0.01924,2.404,0.9333,1.416,0.1333,Cf,Ephemeral
403213A,-36.6185,146.244,VIC,Fifteen,235.6616407,0.810472295,32.5191742,1.115343779,230.9,1034.649961,0.222093585,0.020007895,0.790231466,0.81209122,0.461680171,0.824476498,0.001798,0.1056,4.004,0.8365,2.688,0.3021,Cf,Ephemeral
403214,-36.5775,146.8201,VIC,Happy,297.6452952,-7.181320359,106.9977064,1.000099941,138,794.3045364,0.127384537,-0.020243916,0.790176884,0.813702818,0.757564365,0.835720204,0.02555,0.1009,2.505,0.8014,1.91,0.2273,Cf,Perennial
403217,-36.822,146.5815,VIC,Rose,243.6745874,-2.74406882,120.2193566,1.260591645,180.3,1682.317103,0.24877265,0.001486059,0.847864715,0.854660802,0.734038448,0.862767325,0.007616,0.1316,6.362,0.9067,4.72,0.6386,Cf,Perennial
403221,-36.3107,146.6011,VIC,Reedy,216.0522697,0.274517495,25.15046125,1.070482284,205.5,821.5036065,0.18294491,-0.006062954,0.758073602,0.848518233,0.830313338,0.842793333,0.005595,0.07642,3.623,0.5874,1.794,0.2157,Cf,Ephemeral
403222,-36.9106,146.7001,VIC,Buffalo,156.2489632,-5.250807103,245.628029,1.436345737,415,1954.841323,0.277837313,-0.011476461,0.860205272,0.871677269,0.823927861,0.881239775,0.03654,0.2484,5.767,0.9494,5.257,0.8187,Cf,Perennial
403232,-36.7513,146.9794,VIC,Morses,242.8986878,-3.290782065,180.332328,1.764343034,124.1,1783.538066,0.254450318,0.009288673,0.867181707,0.908983218,0.859017176,0.916345334,0.03332,0.223,6.576,0.9465,4.58,0.5833,Cf,Perennial
404207,-36.6112,146.0592,VIC,Holland,222.51551,0.146429966,18.57811542,1.443345143,448,642.2708673,0.148250008,0.014910959,0.823677651,0.826888629,0.649908985,0.831239333,0,0.03476,3.008,0.6946,1.573,0.1302,Cf,Ephemeral
405205,-37.4137,145.564,VIC,Murrindindi,2000,-0.257622943,113.8007325,1.218493137,105.8,2492.287783,0.340062234,-0.025108407,0.756120519,0.786426667,0.79409997,0.798670996,0.4376,0.8352,3.297,0.8341,2.342,0.6482,Cf,Perennial
405209,-37.3233,145.71,VIC,Acheron,212.7705872,3.357198037,54.93516905,1.199790592,629.4,2405.63499,0.496327909,-0.017247868,0.783845141,0.716025497,0.677281134,0.750460945,0.2379,0.5733,4.697,0.9312,4.266,0.7891,Cf,Perennial
405215,-37.2296,146.2072,VIC,Howqua,158.0341774,-2.645771623,201.9898266,1.551620932,374,2199.042731,0.3295445,-0.022106292,0.890684155,0.905317194,0.880791376,0.91728375,0.06301,0.3722,5.316,0.9473,5.094,1.067,Cf,Perennial
405217,-37.3833,145.475,VIC,Yea,307.9044519,0.425367115,30.6526576,1.283426905,360.6,1081.637021,0.201888682,-0.012517769,0.818678195,0.850886533,0.841405017,0.862783756,0.06667,0.19,3.801,0.8088,1.929,0.3141,Cf,Perennial
405218,-37.2917,146.1733,VIC,Jamieson,155.7136276,2.614431044,157.0434361,1.511353502,364.2,2858.634949,0.447275051,-0.023805335,0.793629892,0.839882588,0.815296498,0.855995146,0.09637,0.4673,7.387,0.9405,6.917,1.322,Cf,Perennial
405219,-37.3308,146.1311,VIC,Goulburn,212.7341904,1.281218535,134.0458656,2.049451974,700.2,2298.757851,0.354208666,-0.007658284,0.864275171,0.894042529,0.877150939,0.905403686,0.08085,0.3065,6.52,0.9463,5.896,0.8683,Cf,Perennial
405226,-36.6148,145.3036,VIC,Pranjip,121.3344492,-0.351109969,15.89409751,3.498479272,749.4,169.0803278,0.056197144,0.031326155,0.628208561,0.626276769,0.407194534,0.665508852,0,0.007326,1.27,0.9015,0.3156,0.0236,Cf,Ephemeral
405227,-37.3679,146.0568,VIC,Big,186.7950243,1.993605325,142.3131658,1.477671943,626.9,2430.386942,0.380963346,-0.02533142,0.86201779,0.870785927,0.85606452,0.884208119,0.1547,0.4412,5.425,0.9449,5.155,0.9341,Cf,Perennial
405238,-37.1203,144.8573,VIC,Mollison,179.8286482,-0.473099935,12.12604331,1.100577894,164.1,319.1754693,0.086310295,0.017233955,0.626646362,0.715423123,0.651351214,0.732515119,0,0.01201,1.753,0.5344,0.6581,0.05998,Cf,Ephemeral
405245,-37.0383,146.0536,VIC,Ford,182.9099981,-1.934652022,14.64700753,0.505589655,115.4,293.0265717,0.068340525,0.043082018,0.59595418,0.666807922,0.533903278,0.699037504,0.0009319,0.006116,2.635,0.4648,0.2811,0.01964,Cf,Ephemeral
405248,-36.8544,144.9146,VIC,Major,193.4796064,-0.795136442,5,1.645258689,287.6,66.26905008,0.021681351,0.037702462,0.611620568,0.578399477,-0.482055931,0.655466491,0,0,0.5265,0.3597,0.03125,0,Cf,Ephemeral
405251,-36.9688,145.7855,VIC,Brankeet,227.1462031,-1.379313599,25.64664941,1.077345847,121.8,439.6352181,0.100893144,-0.050517522,0.872724954,0.718042907,0.406058167,0.761404136,0.01586,0.0822,1.622,0.6719,0.6573,0.119,Cf,Perennial
405263,-37.4628,146.2471,VIC,Goulburn,234.3104284,1.017608021,111.6243528,2.067211252,328.9,2209.418545,0.3393695,-0.016303474,0.851767242,0.877378719,0.873066312,0.885299836,0.08469,0.3236,5.746,0.9487,5.442,0.9484,Cf,Perennial
405264,-37.5194,146.0761,VIC,Big,261.5670344,-4.9613952,273.6610068,1.366716243,335.4,2775.22928,0.339942741,-0.037587722,0.815236639,0.849884135,0.85514055,0.854444491,0.2006,0.583,5.526,0.9607,5.601,1.095,Cf,Perennial
405274,-37.106,145.6051,VIC,Home,130.223572,-0.127005807,13.08723268,0.500454729,186.7,433.1835809,0.108118944,0.038238926,0.732699762,0.754577603,0.559919633,0.778916521,0.0004741,0.01644,2.917,0.5058,0.6994,0.04602,Cf,Ephemeral
406208,-37.39,144.4517,VIC,Campaspe,275.9431437,-8.552900671,29.60289423,1.130375206,37.6,395.5202332,0.069658371,0.052007552,0.673245625,0.704016101,0.495484229,0.705599062,0,0.007211,2.089,0.6229,0.7002,0.04993,Cf,Ephemeral
406213,-37.017,144.5395,VIC,Campaspe,175.0676171,0.087540602,6.275808628,1.385989623,633.8,260.4239083,0.081568699,0.022410701,0.517668187,0.60344807,0.073035672,0.612130928,0,0.004847,1.674,0.7368,0.426,0.03291,Cf,Ephemeral
406214,-36.7735,144.4281,VIC,Axe,1675.069937,-0.283572619,5,1.332920215,237,61.00377411,0.021484741,0.031618088,0.32107968,0.21823303,-0.443392807,0.270441894,0,0.0004178,0.3577,0.5947,0.06901,0.001926,Cf,Ephemeral
406224,-36.5457,144.6377,VIC,Mount,157.0035053,-10,500,1.460672236,246.3,23.78872109,0.008445,0.010603918,0.1339514,-0.434769861,-3.631105711,-0.249653945,0,0,0.2081,0.4244,0,0,Cf,Ephemeral
407214,-37.2966,143.7898,VIC,Creswick,265.7935248,-0.14274139,5,1.262355788,299.9,126.0149851,0.038524668,0.020291063,0.658876228,0.666614299,0.439993633,0.66049848,0.0004801,0.004073,0.6759,0.65,0.2842,0.01594,Cf,Perennial
407215,-37.109,144.058,VIC,Loddon,134.6683038,0.020716146,10.70028256,1.348788178,1028.5,192.2934285,0.062671547,0.004796369,0.920392222,0.671500982,0.326361391,0.717765378,0,0.01202,0.9509,0.5978,0.3255,0.04494,Cf,Ephemeral
407220,-36.9496,143.641,VIC,Bet,114.4290445,-2.634256215,11.78620468,1.773127704,361.3,43.44754015,0.015302983,-0.011495636,0.679707162,0.423522325,0.243184084,0.47044752,0,0.0002311,0.303,0.414,0.05554,0.006291,Cf,Ephemeral
407230,-37.1667,143.9583,VIC,Joyces,113.7440113,-1.026459833,7.250072492,1.222191686,156,117.7133922,0.036966803,0.016532012,0.89712672,0.618707707,0.319138063,0.675751022,0,0,0.8691,0.5833,0.1416,0.004678,Cf,Ephemeral
