Number,LAT,LON,Jurisdiction,Station_name,x1,x2,x3,x4,Area,FDC.total,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,objFun,FDC.low,FDC.mid,FDC.high,AC,Peaks,slope,KGext
138004B,-25.9031,152.3491,QLD,Munna,248.1845256,-1.658820425,27.82986241,2.106243212,1190.4,0.9572,0.124718098,0.029233931,0.891353046,0.822124817,0.429385618,0.851073011,0.985775337,0.986705613,0.955202617,0.915643607,0.911861472,0.966961131,14
138009A,-26.0773,152.7838,QLD,Tinana,134.4440896,-2.354163696,68.49247745,1.129874565,101.8,0.9683,0.213021636,0.015193134,0.942871016,0.850475102,0.577723761,0.885391928,0.964086705,0.971706758,0.900907556,0.576607251,0.935064935,0.928975265,14
143009A,-26.9956,152.4102,QLD,Brisbane,347.8839775,-4.204315452,36.03778303,1.164761339,3875.5,0.9803,0.051636384,-0.013604514,0.896198102,0.779153712,0.6921317,0.806190013,0.997025048,0.998427262,0.990111862,0.25139017,0.979025974,0.989717314,14
143110A,-27.8277,152.5116,QLD,Bremer,182.1903344,-0.827541472,14.20430148,1.073626794,126.5,0.9494,0.16892471,0.01713804,0.845479292,0.795257819,0.539743964,0.835353263,0.992589595,0.987754868,0.986323343,0.637128732,0.916082251,0.99140636,14
145010A,-28.2452,152.8906,QLD,Running,702.8809434,1.131749305,16.67258211,0.982528774,129,0.7819,0.274659013,0.012421478,0.570200603,0.563952673,0.491191254,0.52975303,0.869749518,0.927949599,0.826614605,0.648035479,0.935064935,0.908904594,14
145011A,-28.148,152.5701,QLD,Teviot,123.455372,-10,82.78926236,1.082142388,85.1,0.8928,0.115352839,-0.003757242,0.65902513,0.724755499,0.662001766,0.721291444,0.985150289,0.996013746,0.970588856,0.703583823,0.927792208,0.981017668,14
145107A,-27.9976,153.1583,QLD,Canungra,923.9784459,-0.289724519,23.64574073,1.24850737,102.3,0.9743,0.238484774,-0.011717042,0.844760338,0.775689047,0.620444795,0.827551882,0.89088632,0.93860252,0.992085268,0.757102281,0.853896104,0.953639576,15
146012A,-28.1787,153.4237,QLD,Currumbin,602.8472409,-2.65547335,76.81809517,1.093811327,29,0.9691,0.331682945,0.01432658,0.890525035,0.852446751,0.751779267,0.876606623,0.831406551,0.827262314,0.613127902,0.950746335,0.884415584,0.737102473,14
221207,-37.4507,148.9129,VIC,Errinundra,697.3816369,1.127910267,46.39602063,1.059732335,159.2,0.9495,0.340368857,-0.020781216,0.697564413,0.732553685,0.726060925,0.744749295,0.887090559,0.984306987,0.954622203,0.649151371,0.990692641,0.904240283,15
221210,-37.4158,149.5204,VIC,Genoa,134.134524,-3.521589511,34.39927852,1.203549166,844.1,0.9645,0.132352738,0.01118015,0.845872572,0.834470921,0.668609629,0.850720187,0.971984586,0.985441008,0.987969607,0.859327583,0.951125541,0.975547703,15
